t,pressure
1.188,92184.8
1.189,95454.56
1.19,95335.2
1.191,96351.04000000001
1.192,94269.28
1.193,95609.28
1.194,92519.36
1.195,95070.56
1.196,98429.92
1.197,95135.04000000001
1.198,96949.92
1.199,96157.28
1.2,96367.2
1.201,93684.96
1.202,95703.52
1.203,94208.96
1.204,94279.04000000001
1.205,92019.2
1.206,96780.32
1.207,95213.92
1.208,92583.04000000001
1.209,94508.96
1.21,94543.36
1.211,94231.2
1.212,95561.92
1.213,99737.6
1.214,91835.52
1.215,92849.12
1.216,96018.40000000001
1.217,94357.76
1.218,91017.76
1.219,91891.52
1.22,94476.0
1.221,94217.76
1.222,94516.48
1.223,98072.32
1.224,94223.04000000001
1.225,94144.0
1.226,93543.84
1.227,91741.76
1.228,92760.32
1.229,97516.48
1.23,94586.24
1.231,95634.40000000001
1.232,93901.92
1.233,96675.68000000001
1.234,92798.88
1.235,94592.48
1.236,93328.48
1.237,93380.96
1.238,94809.92
1.239,93270.72
1.24,95524.96
1.241,91324.8
1.242,96676.48
1.243,97205.28
1.244,93853.12
1.245,98114.88
1.246,93953.12
1.247,95452.0
1.248,93960.64
1.249,98130.08
1.25,96800.64
1.2510000000000001,93656.32
1.252,90420.32
1.2530000000000001,94852.48
1.254,90652.16
1.2550000000000001,99163.2
1.256,92676.96
1.2570000000000001,98657.92
1.258,97476.64
1.2590000000000001,94264.8
1.26,90923.36
1.2610000000000001,92613.44
1.262,98607.68000000001
1.2630000000000001,93900.0
1.264,95815.68000000001
1.2650000000000001,93183.2
1.266,94600.0
1.2670000000000001,93911.36
1.268,94151.2
1.2690000000000001,95128.48
1.27,99008.96
1.2710000000000001,96164.8
1.272,88148.96
1.2730000000000001,95795.2
1.274,93285.12
1.2750000000000001,98469.44
1.276,91200.96
1.2770000000000001,96269.44
1.278,94874.72
1.2790000000000001,92570.88
1.28,99548.16
1.281,95952.48
1.282,92105.6
1.283,95385.92
1.284,93503.04000000001
1.285,93538.88
1.286,99155.68000000001
1.287,89917.44
1.288,90884.96
1.289,92537.6
1.29,94144.64
1.291,99434.08
1.292,97172.16
1.293,95299.68000000001
1.294,94150.40000000001
1.295,96368.64
1.296,95440.96
1.297,93345.44
1.298,96162.88
1.299,94340.0
1.3,92936.8
1.301,95323.36
1.302,95480.16
1.303,94129.76
1.304,93049.12
1.305,99926.72
1.306,91871.68000000001
1.307,96414.40000000001
1.308,95633.12
1.309,93733.92
1.31,93930.56
1.311,93168.48
1.312,96324.16
1.313,91823.84
1.314,96757.12
1.315,93757.44
1.316,92634.56
1.317,94550.24
1.318,93145.6
1.319,95036.32
1.32,94444.8
1.321,93865.28
1.322,97511.36
1.323,92761.76
1.324,90711.36
1.325,98414.24
1.326,92292.8
1.327,96750.72
1.328,95898.56
1.329,95983.04000000001
1.33,95108.16
1.331,91484.32
1.332,96109.92
1.333,94585.6
1.334,94042.24
1.335,92787.04000000001
1.336,93129.28
1.337,96936.64
1.338,95505.12
1.339,95828.0
1.34,91883.84
1.341,95636.48
1.342,99406.24
1.343,94064.48
1.344,96556.8
1.345,90494.08
1.346,95392.48
1.347,98297.76000000001
1.348,97411.68000000001
1.349,92287.84
1.35,94054.08
1.351,93945.12
1.352,93761.6
1.353,91430.88
1.354,89418.56
1.355,92096.64
1.356,91547.84
1.357,98112.32
1.358,93005.92
1.359,93642.24
1.36,91975.68000000001
1.361,96223.68000000001
1.362,90945.92
1.363,88961.12
1.364,96871.36
1.365,97944.32
1.366,98663.68000000001
1.367,89850.24
1.368,97734.72
1.369,97747.04000000001
1.37,92006.24
1.371,98731.04000000001
1.372,94971.52
1.373,94536.0
1.374,92047.36
1.375,92798.72
1.3760000000000001,97464.8
1.377,95098.08
1.3780000000000001,93336.96
1.379,94052.64
1.3800000000000001,94924.96
1.381,92510.24
1.3820000000000001,94852.0
1.383,94011.84
1.3840000000000001,96028.64
1.385,92051.68000000001
1.3860000000000001,89638.88
1.387,95456.96
